latitude,longitude,altitude,geometry,English Name,Latitude,Longitude,Nom en français,Station ID
45.017972,-74.735222,,Point,Cornwall,45.017972,-74.735222,Cornwall,61201
43.160056,-79.23475,,Point,St Catharines,43.160056,-79.23475,St Catharines,61302
43.138611,-80.292639,,Point,Brantford,43.138611,-80.292639,Brantford,61402
43.443833,-80.503806,,Point,Kitchener,43.443833,-80.503806,Kitchener,61502
43.486917,-79.702278,,Point,Oakville,43.486917,-79.702278,Oakville,61603
43.95222,-78.9125,,Point,Oshawa,43.95222,-78.9125,Oshawa,61703
43.551611,-80.264167,,Point,Guelph,43.551611,-80.264167,Guelph,61802
46.323194,-79.449278,,Point,North Bay,46.323194,-79.449278,North Bay,62001
44.314472,-81.549722,,Point,Tiverton,44.314472,-81.549722,Tiverton,62501
43.315111,-79.802639,,Point,Burlington,43.315111,-79.802639,Burlington,63001
45.224278,-78.932944,,Point,Dorset,45.224278,-78.932944,Dorset,63301
43.333083,-81.742889,,Point,Grand Bend,43.333083,-81.742889,Grand Bend,63701
49.6638888888889,-93.721111111111,,Point,Experimental Lakes,49.6638888888889,-93.721111111111,Experimental Lakes,64001
47.035,-84.381111111111,,Point,Algoma,47.035,-84.381111111111,Algoma,64101
44.2325,-79.781388888888,,Point,Egbert,44.2325,-79.781388888888,Egbert,64401
44.382361,-79.702306,,Point,Barrie,44.382361,-79.702306,Barrie,65001
44.044306,-79.48325,,Point,Newmarket,44.044306,-79.48325,Newmarket,65101
45.337861,-80.038167,,Point,Parry Sound,45.337861,-80.038167,Parry Sound,65201
42.672083,-81.162889,,Point,Port Stanley,42.672083,-81.162889,Port Stanley,65301
44.150528,-77.3955,,Point,Belleville,44.150528,-77.3955,Belleville,65401
42.403694,-82.208306,,Point,Chatham,42.403694,-82.208306,Chatham,65801
51.44944,-90.2175,,Point,Pickle Lake,51.44944,-90.2175,Pickle Lake,65901
49.386389,-82.121389,,Point,Bonner Lake,49.386389,-82.121389,Bonner Lake,66101
45.996722,-77.441194,,Point,Petawawa,45.996722,-77.441194,Petawawa,66201
43.52965,-79.862449,,Point,Milton,43.52965,-79.862449,Milton,67001
49.93229,-97.11327,,Point,City of Winnipeg Flood Pump Station,49.93229,-97.11327,City of Winnipeg Flood Pump Station,70118
49.89795,-97.14665,,Point,Winnipeg - 65 Ellen Street,49.89795,-97.14665,Winnipeg - 65 Ellen Street,70119
49.84225,-99.919,,Point,Assiniboine Comm. College,49.84225,-99.919,Assiniboine Comm. College,70203
54.768525,-101.877657,,Point,Flin Flon,54.768525,-101.877657,Flin Flon,70301
55.747194,-97.873528,,Point,Thompson,55.747194,-97.873528,Thompson,70501
50.45017,-104.61722,,Point,Regina,50.45017,-104.61722,Regina,80110
52.13613,-106.66293,,Point,Corman Park,52.13613,-106.66293,Corman Park,80211
53.201694,-105.75203,,Point,Prince Albert,53.201694,-105.75203,Prince Albert,80402
49.13235,-102.98499,,Point,Estevan,49.13235,-102.98499,Estevan,80502
50.2027777777778,-104.20416666666,,Point,Bratt's Lake,50.2027777777778,-104.20416666666,Bratt's Lake,80901
50.285833,-107.81689,,Point,Speedy Creek,50.285833,-107.81689,Speedy Creek,81001
55.50333,-106.72167,,Point,Pinehouse Lake,55.50333,-106.72167,Pinehouse Lake,82001
55.834615,-108.402452,,Point,Buffalo Narrows,55.834615,-108.402452,Buffalo Narrows,82002
54.29489,-109.20947,,Point,Flat Valley,54.29489,-109.20947,Flat Valley,82101
53.50022,-113.526,,Point,Edmonton South,53.50022,-113.526,Edmonton - sud,90120
53.5475,-113.36666666666,,Point,Edmonton East,53.5475,-113.36666666666,Edmonton - est,90121
53.564411,-113.562583,,Point,Woodcroft,53.564411,-113.562583,Woodcroft,90133
53.53209,-113.32098,,Point,Sherwood Park,53.53209,-113.32098,Sherwood Park,90134
53.55469,-113.1449,,Point,Ardrossan,53.55469,-113.1449,Ardrossan,90135
53.6269722,-113.6119166,,Point,St. Albert,53.6269722,-113.6119166,St. Albert,90136
53.549509,-113.48593,,Point,Edmonton McCauley,53.549509,-113.48593,Edmonton McCauley,90140
51.0802777777778,-114.14305555555,,Point,Calgary Northwest,51.0802777777778,-114.14305555555,Calgary - nord-ouest,90222
51.0476111111111,-114.07516666666,,Point,Calgary Central,51.0476111111111,-114.07516666666,Calgary - centre,90228
50.955122,-113.969742,,Point,Calgary Southeast,50.955122,-113.969742,Calgary - sud-est,90229
51.26808,-114.03779,,Point,Airdrie,51.26808,-114.03779,Airdrie,90250
52.2988888888889,-113.79416666666,,Point,Red Deer - Riverside Drive,52.2988888888889,-113.79416666666,Red Deer - Riverside Drive,90302
52.24095,-113.765439,,Point,Red Deer - Lancaster,52.24095,-113.765439,Red Deer - Lancaster,90304
50.05325,-110.68849,,Point,Crescent Heights,50.05325,-110.68849,Crescent Heights,90402
49.71611,-112.80042,,Point,Lethbridge,49.71611,-112.80042,Lethbridge,90502
53.71,-113.22222222222,,Point,Fort Saskatchewan,53.71,-113.22222222222,Fort Saskatchewan,90601
53.75236,-113.12589,,Point,Range Road 220,53.75236,-113.12589,Range Road 220,90602
53.71622,-113.19994,,Point,Ross Creek,53.71622,-113.19994,Ross Creek,90603
53.7914156,-113.078667,,Point,Scotford,53.7914156,-113.078667,Scotford,90604
53.800119,-112.927797,,Point,Bruderheim,53.800119,-112.927797,Bruderheim,90606
53.827241,-113.327174,,Point,Gibbons,53.827241,-113.327174,Gibbons,90607
53.951834,-113.105857,,Point,Redwater,53.951834,-113.105857,Redwater,90608
56.7328,-111.3902,,Point,Athabasca Valley,56.7328,-111.3902,Vallée de l'Athabasca,90701
56.7522222222222,-111.47611111111,,Point,Patricia McInnes,56.7522222222222,-111.47611111111,Patricia McInnes,90702
57.189406,-111.640504,,Point,Fort McKay,57.189406,-111.640504,Fort McKay,90801
57.1492,-111.6424,,Point,Syncrude UE1,57.1492,-111.6424,Syncrude UE1,90806
52.621408,-111.17269,,Point,Stony Mountain,52.621408,-111.17269,Stony Mountain,90808
55.632331,-111.078872,,Point,Conklin,55.632331,-111.078872,Conklin,90809
51.6666666667,-110.2,,Point,Esther,51.6666666667,-110.2,Esther,91001
53.68233,-112.86822,,Point,Elk Island National Park,53.68233,-112.86822,Parc national Elk Island,91101
53.37255,-114.76835,,Point,Tomahawk,53.37255,-114.76835,Tomahawk,91301
53.1422222222222,-115.13805555555,,Point,Violet Grove,53.1422222222222,-115.13805555555,Violet Grove,91401
55.1969444444445,-119.39444444444,,Point,Beaverlodge,55.1969444444445,-119.39444444444,Beaverlodge,91501
53.6072222222222,-115.87694444444,,Point,Carrot Creek,53.6072222222222,-115.87694444444,Carrot Creek,91601
53.1325,-117.09111111111,,Point,Steeper,53.1325,-117.09111111111,Steeper,91701
58.7,-111.13333333333,,Point,Fort Chipewyan,58.7,-111.13333333333,Fort Chipewyan,91801
51.95,-114.7,,Point,Caroline,51.95,-114.7,Caroline,91901
55.1767,-118.8063,,Point,Grande Prairie - Henry Pirker Station,55.1767,-118.8063,Grande Prairie - Henry Pirker Station,92001
53.7603611,-112.8801667,,Point,Lamont County,53.7603611,-112.8801667,Comté de Lamont,92201
