latitude,longitude,altitude,geometry,Latitude,Longitude,cgndb_key,region_name_en,region_name_fr
49.6936111111111,-112.84194444444,,Point,49.6936111111111,-112.84194444444,IADGP,Lethbridge,Lethbridge
54.45,-110.166667,,Point,54.45,-110.166667,IAEFD,Cold Lake,Cold Lake
52.2686111111111,-113.81027777777,,Point,52.2686111111111,-113.81027777777,IAEJS,Red Deer,Red Deer
58.7144444444444,-111.15833333333,,Point,58.7144444444444,-111.15833333333,IAFEW,Fort Chipewyan,Fort Chipewyan
57.1811111111111,-111.59972222222,,Point,57.1811111111111,-111.59972222222,IAFFF,Fort McKay,Fort McKay
56.7263888888889,-111.38027777777,,Point,56.7263888888889,-111.38027777777,IAFFI,Fort McMurray,Fort McMurray
53.7111111111111,-113.21777777777,,Point,53.7111111111111,-113.21777777777,IAFFM,Fort Saskatchewan,Fort Saskatchewan
53.6369444,-113.6202778,,Point,53.6369444,-113.6202778,IAGHN,St. Albert,St. Albert
55.1708333333333,-118.79611111111,,Point,55.1708333333333,-118.79611111111,IAHMM,Grande Prairie,Grande Prairie
50.0408333333333,-110.67666666666,,Point,50.0408333333333,-110.67666666666,IAIUC,Medicine Hat,Medicine Hat
53.4111111,-117.5627778,,Point,53.4111111,-117.5627778,IAJWU,Hinton,Hinton
51.0458333333333,-114.0575,,Point,51.0458333333333,-114.0575,IAKID,Calgary,Calgary
53.5538888,-113.9022222,,Point,53.5538888,-113.9022222,IAKRM,Parkland County,comté de Parkland
55.6311111,-111.0788889,,Point,55.6311111,-111.0788889,IANHQ,Wood Buffalo - south,Wood Buffalo - sud
51.2922222,-114.0141667,,Point,51.2922222,-114.0141667,IAQFR,Airdrie,Airdrie
49.0583333333333,-122.25,,Point,49.0583333333333,-122.25,JABNO,Central Fraser Valley,Bas-Fraser - centre
50.6733333333333,-120.32722222222,,Point,50.6733333333333,-120.32722222222,JAFNW,Kamloops,Kamloops
49.8833333333333,-119.48333333333,,Point,49.8833333333333,-119.48333333333,JAFUV,Central Okanagan,Okanagan - centre
56.2525,-120.846667,,Point,56.2525,-120.846667,JAGPB,Fort St. John,Fort St. John
49.6833,-124.9833,,Point,49.6833,-124.9833,JAHJY,Courtenay,Courtenay
49.5,-115.7667,,Point,49.5,-115.7667,JAIQY,Cranbrook,Cranbrook
49.1666666666667,-123.93333333333,,Point,49.1666666666667,-123.93333333333,JAQAL,Nanaimo / Parksville,Nanaimo / Parksville
49.1166666666667,-122.75,,Point,49.1166666666667,-122.75,JAZBU,Metro Vancouver - SE,Metro Vancouver - sud-est
48.783333,-123.7,,Point,48.783333,-123.7,JBBWA,Duncan,Duncan
49.0333333333333,-119.45,,Point,49.0333333333333,-119.45,JBHJG,South Okanagan,Okanagan - sud
49.163333,-123.163333,,Point,49.163333,-123.163333,JBJFI,Metro Vancouver - SW,Metro Vancouver - sud-ouest
53.9166666666667,-122.75,,Point,53.9166666666667,-122.75,JBLVS,Prince George,Prince George
49.733333,-114.885833,,Point,49.733333,-114.885833,JBMPJ,Sparwood,Sparwood
54.779167,-127.176111,,Point,54.779167,-127.176111,JBMQO,Smithers,Smithers
53,-122.5,,Point,53.0,-122.5,JBNTS,Quesnel,Quesnel
50.2583333333333,-119.26666666666,,Point,50.2583333333333,-119.26666666666,JBOAP,North Okanagan,Okanagan - nord
48.4333333333333,-123.36666666666,,Point,48.4333333333333,-123.36666666666,JBOBQ,Victoria / Saanich,Victoria / Saanich
49.261111,-123.113889,,Point,49.261111,-123.113889,JBRIK,Metro Vancouver - NW,Metro Vancouver - nord-ouest
52.1416666666667,-122.14166666666,,Point,52.1416666666667,-122.14166666666,JBTMB,Williams Lake,Williams Lake
54.516389,-128.599722,,Point,54.516389,-128.599722,JBXCK,Terrace,Terrace
